RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8514,674,Germany,Female,27,4,111568.01,1,0,1,22026.18,0
9651,834,Spain,Male,33,5,0.0,2,1,0,66285.18,0
4568,554,Spain,Female,27,4,0.0,2,1,1,135083.73,0
4656,622,Spain,Male,39,9,0.0,2,0,1,100862.36,0
4091,503,France,Female,37,8,0.0,2,1,1,97893.32,0
9605,770,France,Male,31,3,155047.56,2,1,1,186064.34,0
1791,697,Germany,Female,74,3,108071.36,2,1,1,16445.79,0
5311,622,Germany,Male,42,9,115766.26,1,0,0,72155.85,1
6049,707,France,Female,36,6,0.0,1,0,0,98810.78,0
9775,679,France,Male,42,1,0.0,2,0,0,71823.15,0
575,848,Spain,Male,40,3,110929.96,1,1,1,30876.84,0
526,776,France,Female,31,2,0.0,2,1,1,112349.51,0
2451,589,France,Female,46,10,107238.85,2,1,0,37024.28,0
9664,606,Germany,Male,40,9,95293.86,2,0,1,96985.58,0
4448,666,Germany,Female,50,7,109062.28,1,1,1,140136.1,1
6679,472,Spain,Female,32,1,159397.75,1,0,1,57323.18,0
7640,541,France,Male,46,6,0.0,2,1,1,83456.67,0
6854,685,France,Female,43,1,132667.17,1,1,1,41876.98,0
7508,576,Germany,Male,44,9,119530.52,1,1,0,119056.68,1
5456,805,Germany,Female,45,9,116585.97,1,1,0,189428.75,1
955,665,Spain,Female,42,2,156371.61,2,0,1,156774.94,1
7021,651,France,Male,28,7,0.0,2,1,0,823.96,0
2821,622,France,Female,31,1,89688.94,1,1,1,152305.47,0
3374,644,France,Male,37,2,186347.97,2,1,0,92809.73,0
5420,740,Spain,Female,56,4,99097.33,1,1,1,85016.64,1
4229,740,France,Female,37,9,0.0,2,1,1,73225.31,0
7497,824,Germany,Male,49,8,133231.48,1,1,1,67885.37,0
8027,607,France,Female,33,8,91301.72,1,0,1,130824.57,0
7002,681,Germany,Male,48,5,139714.4,2,0,0,73066.72,0
6743,678,France,Female,26,1,0.0,2,1,0,45443.68,0
3568,470,Spain,Female,31,2,101675.22,2,1,0,45033.75,0
921,729,France,Male,44,5,0.0,2,0,1,9200.54,0
4065,626,Germany,Male,39,10,132287.92,3,1,1,51467.92,1
4849,635,France,Male,42,1,146766.72,2,0,1,164357.1,0
8853,708,Spain,Male,38,8,99640.89,1,1,0,12429.22,0
1761,521,France,Male,38,5,110641.18,1,0,1,136507.69,1
6308,583,Germany,Male,27,4,105907.42,2,1,1,195732.04,0
9995,800,France,Female,29,2,0.0,2,0,0,167773.55,0
7870,651,Spain,Female,45,8,95922.9,1,1,0,84782.42,1
6338,730,Spain,Female,43,1,103960.38,1,1,1,193650.16,0
9010,751,Germany,Male,54,9,156367.6,2,0,1,116179.92,0
5864,748,France,Male,40,3,95297.11,1,0,0,171515.84,0
8150,492,Germany,Female,38,8,57068.43,2,1,0,188974.81,0
9385,771,France,Female,57,4,0.0,1,0,0,85876.67,1
4010,446,France,Female,39,1,90217.07,1,1,0,191350.48,0
7128,624,France,Male,44,3,0.0,2,1,0,88407.51,0
630,799,Spain,Female,28,3,142253.65,1,1,0,45042.56,0
3569,714,Spain,Male,20,3,0.0,2,0,1,150465.93,0
4702,652,France,Male,27,10,107303.72,2,0,0,44435.76,0
1303,428,France,Female,31,2,0.0,2,1,0,54487.43,0
333,663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0
3930,646,Germany,Female,36,6,144773.29,2,1,0,53217.3,0
8081,757,France,Male,47,3,130747.1,1,1,0,143829.54,0
4183,550,Germany,Male,52,5,121016.23,1,1,1,41730.37,1
2001,842,France,Male,58,1,63492.94,1,1,1,83172.19,0
8897,712,France,Male,34,1,0.0,2,1,1,195052.12,0
1443,683,France,Male,43,8,0.0,1,1,0,96754.8,0
9388,524,France,Male,32,1,144875.71,1,0,0,187740.04,0
2797,697,France,Female,39,6,151553.19,1,1,1,44946.29,0
6941,575,France,Male,46,1,0.0,2,1,1,65998.26,0
3582,637,France,Male,33,5,0.0,2,1,0,139947.17,0
5139,850,France,Male,34,6,0.0,1,0,1,52796.31,0
2476,627,France,Male,32,10,0.0,2,1,0,103287.62,0
6745,777,France,Female,30,4,0.0,2,0,1,115611.97,0
1231,775,Germany,Male,36,2,109949.05,2,0,1,71682.54,0
4826,622,France,Male,31,5,106260.67,1,1,1,2578.43,0
9762,807,Germany,Female,60,1,72948.58,2,1,1,17355.36,0
315,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0
2642,538,Germany,Female,28,6,164365.44,1,0,1,5698.97,0
7466,666,Germany,Male,30,3,110153.27,1,0,1,74849.46,0
9419,639,Spain,Female,27,2,0.0,1,1,1,82938.99,0
7208,520,Spain,Female,30,4,145222.99,2,0,0,145160.96,0
5557,606,France,Male,40,6,119501.88,2,1,0,46774.94,0
7178,559,Germany,Female,28,3,152264.81,1,0,0,64242.31,0
8822,662,Spain,Female,42,6,105021.28,1,1,0,48242.38,0
6115,627,France,Female,44,5,0.0,2,1,0,82969.61,1
5041,829,Spain,Male,50,7,0.0,2,0,1,178458.86,0
7630,723,Germany,Female,68,3,110357.0,1,0,0,141977.54,1
5505,786,France,Male,32,2,120452.4,2,0,0,79602.86,0
4308,770,Spain,Male,46,9,190678.02,1,1,1,14725.36,0
3866,623,France,Male,40,6,0.0,2,1,1,66119.07,0
5123,655,France,Male,27,2,131691.33,1,1,0,49480.66,0
7123,527,Spain,Female,46,10,131414.76,1,1,0,54947.51,0
7812,611,France,Male,30,2,104145.65,1,0,0,159629.64,0
9712,521,Germany,Male,41,8,120586.54,1,0,1,20491.15,0
8363,567,France,Male,36,7,0.0,2,0,1,3896.08,0
7502,681,France,Female,58,8,93173.88,1,1,1,139761.25,0
7538,655,France,Female,38,6,0.0,1,1,1,188639.28,0
1758,523,Germany,Female,39,1,143903.11,1,1,1,118711.75,1
8862,678,France,Female,43,7,178074.33,1,0,0,110405.9,0
7284,667,France,Male,31,3,99513.91,1,1,1,189657.26,0
6569,724,Germany,Male,54,8,172192.49,1,1,1,136902.01,0
8391,660,France,Female,48,0,90044.32,2,0,1,187604.97,1
8875,582,Germany,Female,50,6,96486.57,2,1,1,20344.02,0
9305,616,France,Male,40,9,0.0,2,0,0,93717.55,0
5825,636,Spain,Male,36,1,0.0,3,1,1,74048.1,1
7808,608,Germany,Male,34,3,106288.54,1,1,1,36639.25,0
548,479,Germany,Female,30,7,143964.36,2,1,0,41879.99,0
365,640,France,Male,68,9,0.0,2,1,1,199493.38,0
5918,674,France,Female,31,1,0.0,1,1,0,128954.05,0
9099,473,Germany,Female,32,5,146602.25,2,1,1,72946.95,0
4285,732,Germany,Female,42,2,118889.66,2,0,0,87422.15,0
3952,807,France,Female,47,9,167664.83,1,0,0,125440.11,1
2692,721,France,Female,37,1,0.0,2,1,0,70810.8,0
7619,578,France,Female,40,7,0.0,2,0,0,102233.73,0
1047,807,Spain,Female,42,1,0.0,1,1,0,16500.66,1
5348,649,Spain,Male,32,1,0.0,1,0,1,91167.19,1
9336,737,Germany,Male,50,4,127552.85,2,1,0,4225.11,0
8187,606,France,Female,39,3,0.0,2,1,0,50560.45,1
8038,547,France,Male,62,10,127738.75,2,1,1,85153.0,0
2513,734,France,Male,51,1,118537.47,1,1,1,116912.45,0
2479,774,France,Female,41,5,126670.37,1,1,0,102426.06,0
9817,643,Spain,Male,48,8,0.0,2,1,0,174729.3,0
4817,600,France,Male,29,8,0.0,2,0,1,34747.43,0
6435,628,France,Female,45,8,0.0,2,1,0,193903.06,0
1879,648,Spain,Male,35,7,0.0,2,1,1,78436.36,0
5132,664,France,Male,40,7,125608.72,1,1,0,122073.48,0
5607,492,Germany,Female,52,8,125396.24,1,1,0,10014.72,1
9381,627,France,Male,70,1,94416.78,1,0,1,145299.5,0
3676,727,France,Male,32,1,59271.82,1,1,1,46019.43,0
2488,710,France,Female,32,3,0.0,1,1,0,94790.34,0
7051,591,France,Male,29,6,0.0,2,1,1,108684.65,0
2151,668,France,Male,38,10,86977.96,1,0,1,37094.75,0
3327,637,Germany,Male,50,4,126345.55,1,0,1,17323.0,1
9465,740,France,Male,39,9,0.0,2,1,0,19047.23,0
6975,662,France,Male,44,8,0.0,2,1,1,175314.87,0
4791,621,Spain,Male,34,8,0.0,1,0,0,47972.65,0
4898,699,Spain,Male,40,2,0.0,1,1,0,78387.32,0
2033,667,Germany,Female,37,5,92171.35,3,1,0,178106.34,1
8104,479,Germany,Male,51,1,107714.74,3,1,0,86128.21,1
2187,556,Germany,Male,37,9,145018.64,2,1,0,90928.02,1
9756,806,Germany,Male,36,8,167983.17,2,1,1,106714.28,0
9247,762,France,Male,20,1,139432.55,1,1,1,85606.83,0
8186,722,Germany,Female,40,6,89175.06,2,0,1,152883.95,0
1499,595,Germany,Female,25,7,106570.34,2,0,1,177025.79,0
6804,568,France,Female,44,7,0.0,2,0,0,62370.67,1
2184,713,France,Male,38,9,72286.84,2,1,1,26136.89,0
3554,741,Spain,Male,40,4,104784.23,1,1,0,135163.76,1
8083,772,Spain,Male,36,3,112029.83,1,1,1,186948.35,0
8820,592,Germany,Male,36,10,123187.51,1,0,1,146111.35,0
2034,665,Spain,Male,41,8,0.0,2,1,0,132152.32,0
7951,516,Germany,Female,33,10,138847.9,1,1,1,127256.7,0
3628,604,Spain,Female,39,7,98544.11,1,1,1,52327.57,0
5429,507,France,Female,35,2,0.0,2,1,0,97633.93,0
2853,609,France,Male,40,6,0.0,2,1,1,97416.34,0
9443,741,France,Male,37,9,105261.76,2,1,1,149503.54,0
7155,605,France,Male,33,9,128152.82,1,0,0,147822.81,0
6594,655,Germany,Female,30,1,83173.98,2,1,1,184259.6,0
3048,784,Spain,Male,48,7,0.0,2,1,1,182609.97,0
4164,627,France,Female,35,7,0.0,2,0,1,193022.44,0
2259,466,France,Female,36,5,119540.15,1,0,1,80603.99,0
2654,730,Spain,Male,26,3,0.0,1,1,0,34542.41,0
3473,594,France,Male,40,9,122417.17,2,0,1,190882.69,0
9661,550,France,Female,30,4,0.0,2,1,0,89216.29,0
6908,519,France,Male,34,5,0.0,1,1,0,68479.6,0
6685,562,France,Female,57,3,0.0,3,1,0,6554.97,1
816,745,France,Male,25,5,157993.15,2,1,0,146041.45,0
3743,587,Germany,Female,39,6,101851.8,2,1,0,7103.71,0
6535,622,Spain,Male,27,9,139834.93,1,1,1,152733.89,0
8311,702,Spain,Male,43,6,116121.67,1,1,0,61602.42,0
5189,663,Spain,Male,30,4,0.0,3,1,0,101371.05,0
4641,687,France,Female,44,9,0.0,2,0,0,103042.2,1
7426,552,Germany,Male,33,3,144962.74,1,1,0,58844.84,1
5915,754,Germany,Male,27,7,117578.35,2,0,1,87908.01,0
5877,704,France,Male,39,2,111525.02,1,1,0,199484.96,0
7050,602,France,Female,39,6,154121.32,2,1,0,176614.86,1
2474,351,Germany,Female,57,4,163146.46,1,1,0,169621.69,1
3422,593,France,Female,39,0,117704.73,1,1,0,197933.5,0
7853,743,Germany,Male,39,3,119695.75,1,0,1,26136.13,0
5687,644,Spain,Female,46,6,12459.19,1,0,0,156787.34,1
8626,747,France,Male,43,1,130788.71,1,0,1,101495.0,1
2778,758,Germany,Female,61,8,125397.21,1,1,0,182184.09,1
7071,748,France,Female,39,3,157371.54,1,0,1,97734.3,0
7282,629,France,Male,59,9,113657.83,1,1,1,116848.79,1
3203,564,France,Female,33,4,135946.26,1,1,0,63170.0,0
5451,803,France,Male,33,6,0.0,2,1,0,115676.61,0
2434,759,Spain,Female,74,6,128917.84,1,1,1,48244.64,0
5283,822,France,Male,32,8,116358.0,1,1,0,108798.36,0
1075,535,France,Female,31,7,111855.04,2,1,1,36278.89,0
6915,702,France,Male,40,7,145536.9,1,0,1,135334.24,0
838,686,Germany,Female,56,5,111642.08,1,1,1,80553.87,0
600,484,Germany,Female,34,4,148249.54,1,0,1,33738.27,0
5145,485,France,Female,25,3,134467.26,1,1,1,113266.09,0
1268,837,Germany,Male,38,2,126732.85,1,1,1,79577.38,0
8483,632,France,Female,34,2,0.0,2,0,0,165385.55,0
9210,560,France,Male,24,1,116084.32,1,1,0,89734.7,0
7594,418,France,Male,28,7,98738.92,1,1,0,122190.22,0
8562,788,Spain,Male,36,10,109632.85,1,1,1,16149.13,0
6397,684,Germany,Female,44,2,133776.86,2,0,1,49865.04,0
5150,721,France,Female,49,1,120108.56,1,0,1,183421.76,0
2671,598,France,Female,64,9,0.0,1,0,1,13181.37,1
9804,673,France,Male,31,1,108345.22,1,0,1,38802.03,0
8325,654,France,Male,55,3,87485.67,1,1,1,3299.01,0
4145,655,France,Male,44,8,87471.63,1,0,1,188593.98,0
4163,652,France,Female,74,5,0.0,2,1,1,937.15,0
1890,665,France,Female,23,9,143672.9,1,1,1,115147.33,0
2394,850,Germany,Male,28,4,147972.19,1,1,0,60708.72,1
8601,710,France,Male,43,9,128284.45,1,1,0,32996.89,1
8258,571,France,Male,40,5,0.0,2,0,0,72849.29,0
5263,628,France,Male,30,8,89182.09,1,1,1,13126.9,0
7518,586,France,Male,58,7,151933.63,1,1,0,162960.05,1
6580,496,France,Female,36,7,0.0,2,0,0,108098.28,0
8096,850,Germany,Female,36,6,143644.16,1,1,0,22102.25,1
156,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1
9256,847,Germany,Female,41,3,101543.51,4,1,0,16025.17,1
9771,520,France,Male,49,5,121197.64,1,1,0,72577.33,1
3943,649,Spain,Male,20,5,0.0,2,1,1,58309.54,0
2800,760,France,Male,43,8,121911.59,1,1,0,193312.33,0
9778,705,France,Female,39,3,92224.56,1,1,1,54517.25,0
1149,613,Spain,Male,34,3,0.0,1,1,1,41724.72,0
9475,673,France,Male,51,8,79563.36,2,1,1,172200.91,0
1170,653,France,Female,38,8,102133.38,1,1,1,166520.96,0
7905,449,Spain,Male,32,0,155619.36,1,1,1,166692.03,0
5276,683,France,Female,42,8,0.0,2,0,1,198134.9,0
6518,628,Germany,Female,51,9,155903.82,2,1,1,71159.84,0
7210,653,France,Male,47,6,0.0,1,1,0,50695.93,1
6513,487,France,Male,24,7,133628.09,2,1,1,98570.01,0
8988,766,Spain,Male,36,5,78381.13,1,0,1,153831.6,0
7655,614,France,Female,38,4,72594.0,1,1,1,76042.48,0
4450,666,France,Male,36,3,0.0,2,1,0,35156.54,0
556,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1
9209,726,France,Female,44,2,0.0,2,1,1,26733.86,0
8631,706,Germany,Female,44,2,185932.18,2,1,0,65413.41,0
4472,826,Spain,Female,56,8,174506.1,2,0,1,161802.82,1
9789,724,France,Female,28,5,0.0,1,1,0,59351.68,0
4447,701,France,Female,37,3,0.0,2,1,1,164268.28,0
6271,696,Spain,Male,24,9,0.0,1,0,0,10883.52,0
6246,591,Spain,Male,39,8,0.0,2,0,0,42392.24,0
2363,709,Germany,Male,45,4,122917.71,1,1,1,11.58,1
698,543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1
8782,438,France,Male,60,7,78391.17,1,0,1,49424.6,0
1694,554,Spain,Female,34,8,0.0,1,0,1,106981.03,0
7968,583,France,Male,40,9,112701.04,1,0,0,29213.63,0
6581,527,Germany,Female,30,6,126663.51,1,1,1,162267.91,0
5820,546,France,Male,29,5,0.0,1,1,1,94823.95,0
9663,748,Spain,Male,39,3,0.0,2,1,1,123998.52,0
7751,550,France,Male,25,0,0.0,2,1,1,184221.11,0
7382,620,Germany,Female,25,8,141825.88,1,1,1,73857.94,1
1372,611,France,Female,43,8,64897.75,1,1,0,114996.33,0
7007,544,France,Female,33,6,0.0,2,1,1,124113.04,0
6963,677,Germany,Female,26,3,102395.79,1,1,0,119368.99,0
7239,697,Spain,Male,62,7,0.0,1,1,0,129188.18,1
1984,748,Spain,Female,40,4,0.0,2,1,0,132368.47,0
7164,850,France,Female,46,3,0.0,2,1,1,187980.21,0
267,498,France,Male,34,2,0.0,2,1,1,148528.24,0
4460,672,Germany,Female,23,10,110741.56,1,1,0,80778.5,0
7731,635,France,Male,43,10,122198.21,2,0,1,179144.54,0
6327,555,France,Male,31,8,145875.74,1,1,0,137491.23,0
3376,777,France,Female,58,4,0.0,1,1,1,62449.07,1
4335,705,Spain,Female,57,3,0.0,2,1,1,34134.14,0
2885,620,France,Female,29,3,0.0,2,0,1,153392.28,0
4256,490,France,Male,29,4,0.0,2,1,0,32089.57,0
7852,758,Germany,Male,68,6,112595.85,1,1,0,35865.44,1
6003,701,France,Female,41,2,0.0,1,1,0,47856.78,0
7945,520,France,Female,39,1,73493.17,1,0,1,109626.13,1
2066,626,France,Male,33,8,0.0,2,1,0,138504.28,0
6883,586,France,Male,32,1,0.0,2,0,0,31635.99,0
4383,622,France,Female,39,9,83456.79,2,0,0,38882.34,0
2829,527,Spain,Male,33,9,132168.28,1,0,0,98734.15,0
2254,684,Spain,Female,41,7,0.0,1,1,1,138394.37,0
2131,704,France,Female,45,6,0.0,1,1,1,137739.45,0
4268,711,France,Female,41,3,145754.91,1,1,1,101455.07,0
7094,606,Germany,Female,41,4,132670.53,1,1,0,156476.36,1
1278,743,France,Male,42,7,77002.2,2,1,1,80428.42,0
2603,594,Germany,Male,28,0,142574.71,2,1,0,129084.82,0
7935,629,Spain,Male,31,6,132876.55,1,1,1,130862.11,0
3228,691,France,Male,26,9,136623.19,1,1,0,153228.0,0
1670,567,France,Female,37,7,0.0,2,1,1,28690.9,0
3069,653,France,Female,31,7,102575.04,1,1,1,11043.54,0
2871,707,France,Female,55,1,0.0,2,0,1,54409.48,0
4288,714,Germany,Male,53,1,99141.86,1,1,1,72496.05,1
8733,724,France,Female,29,6,0.0,2,0,1,64729.51,0
9169,681,France,Female,43,8,154100.3,1,0,0,114659.81,0
2566,705,France,Female,50,4,77065.9,2,0,1,145159.26,0
8527,627,France,Male,27,1,62092.9,1,1,1,105887.04,0
7167,618,Spain,Female,40,8,0.0,2,1,0,80204.38,0
9534,651,Germany,Female,45,6,86714.06,1,1,0,85869.89,1
1280,521,France,Female,39,6,0.0,2,0,1,27375.15,0
5455,704,France,Male,39,5,0.0,1,1,0,6416.92,0
6060,707,Spain,Male,44,3,0.0,2,1,1,135077.01,0
4222,701,Germany,Male,23,5,186101.18,2,1,1,76611.33,0
4800,551,France,Male,52,1,0.0,1,0,0,63584.55,1
2351,617,Germany,Female,58,3,119024.75,2,1,0,35199.24,1
9240,583,Germany,Female,32,7,94753.55,2,1,1,18149.03,0
6299,714,France,Female,52,2,0.0,1,0,1,144045.08,1
5885,552,Germany,Male,38,10,132271.12,2,1,1,46562.02,0
8312,555,Germany,Male,42,6,107104.5,1,1,1,41304.44,1
8103,561,Germany,Female,45,2,168085.38,2,0,1,115719.08,0
6219,707,Spain,Male,43,10,0.0,2,1,0,118368.2,0
5951,834,Germany,Female,57,8,112281.6,3,1,0,140225.14,1
6946,554,Germany,Female,31,6,135470.9,1,1,0,107074.81,0
8938,731,France,Male,31,1,132512.26,1,1,1,185466.85,0
5347,603,France,Male,31,1,129743.75,1,1,0,109145.2,0
1602,834,France,Female,49,8,160602.25,2,1,0,129273.94,0
1228,557,France,Female,28,7,146445.24,2,1,0,184317.74,0
6249,590,France,Male,47,3,0.0,2,1,0,171774.5,0
2166,511,France,Male,33,7,0.0,2,0,1,158313.87,0
1507,747,France,Male,27,10,0.0,2,0,0,13007.89,0
1050,631,Germany,Male,40,3,107949.45,1,1,0,52449.62,1
1361,647,Germany,Female,22,3,97975.82,2,0,1,62083.0,0
3112,623,Germany,Male,42,1,149332.48,2,1,0,100834.22,0
9456,689,Spain,Female,55,4,0.0,2,1,1,58442.25,0
9367,736,France,Female,36,6,0.0,1,1,0,70496.66,0
1600,670,France,Female,42,1,115961.58,2,0,1,29483.87,0
2574,689,Spain,Male,40,2,0.0,2,1,1,164768.82,0
8707,850,Spain,Female,55,7,0.0,1,0,0,171762.87,1
4228,633,France,Female,36,6,125130.28,1,0,0,125961.48,0
8231,758,Germany,Male,32,4,162657.64,2,1,1,115525.13,0
7199,670,France,Male,33,6,88294.6,1,1,0,66979.06,0
2210,663,Spain,Male,33,9,0.0,2,0,0,91514.62,0
1804,577,France,Female,26,1,180530.51,1,0,0,123454.62,0
6461,582,France,Male,29,4,0.0,2,0,0,156153.27,0
3365,673,France,Male,47,1,0.0,2,0,0,108762.16,0
108,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
4642,485,Germany,Male,34,3,133658.24,1,1,0,70209.83,0
9119,710,Spain,Male,23,6,0.0,2,1,1,134188.11,0
2088,716,France,Female,52,7,65971.61,2,1,0,14608.0,1
196,807,France,Male,35,3,174790.15,1,1,1,600.36,0
9440,705,France,Female,31,3,142905.51,1,1,1,58134.97,0
7402,633,France,Female,39,9,129189.15,2,0,0,170998.83,0
3917,539,Spain,Male,36,6,0.0,3,1,1,118959.64,0
5199,604,France,Male,40,1,84315.02,1,0,0,36209.1,0
6177,608,Germany,Female,38,8,103653.51,2,1,1,137079.86,0
4880,783,Spain,Female,44,3,81811.71,1,1,0,164213.53,1
1967,681,Germany,Female,48,8,139480.18,1,1,1,163581.67,0
301,694,France,Female,31,10,0.0,2,1,0,160990.27,0
7820,613,Spain,Male,29,0,0.0,2,0,1,133897.32,0
7263,641,Spain,Female,40,4,101090.27,1,1,1,51703.09,0
7565,598,Germany,Male,38,1,101487.18,1,1,1,75959.1,1
9310,678,Germany,Male,83,6,123356.63,1,0,1,92934.41,0
9841,576,Spain,Male,26,8,0.0,2,0,1,34101.06,0
7960,556,France,Female,40,8,0.0,2,1,0,62112.7,0
7894,642,France,Male,40,8,109219.83,1,1,0,52827.51,0
1519,710,Spain,Female,36,8,0.0,2,0,0,83206.19,0
8668,557,France,Female,46,4,96173.17,2,1,1,116378.31,0
3975,761,Spain,Male,27,8,0.0,2,1,0,63297.7,0
4605,681,France,Male,25,5,0.0,1,0,1,90860.97,0
5762,710,France,Female,31,3,0.0,2,1,1,112289.06,0
3801,850,France,Female,28,2,0.0,2,1,1,38773.74,0
2677,667,Germany,Male,43,1,103018.45,1,1,0,32462.39,1
9827,789,Spain,Female,40,4,0.0,2,1,0,137402.27,0
4830,687,France,Male,34,5,128270.56,1,1,0,191092.62,0
8377,601,France,Male,39,3,72647.64,1,1,0,41777.9,1
113,562,France,Male,42,2,100238.35,1,0,0,86797.41,0
8763,350,France,Female,60,3,0.0,1,0,0,113796.15,1
1406,359,France,Female,44,6,128747.69,1,1,0,146955.71,1
3547,542,Spain,Male,43,6,113567.94,1,1,0,89543.25,0
7988,812,France,Male,32,5,133050.97,2,1,0,89385.92,0
6744,555,Germany,Female,51,9,138214.5,1,1,0,198715.27,1
7586,490,France,Female,40,1,0.0,1,1,1,49594.19,1
7854,730,France,Female,47,7,0.0,1,1,0,33373.26,1
1910,670,Spain,Female,32,3,0.0,2,1,0,46175.7,0
4373,628,France,Male,31,0,88421.81,1,0,0,72350.47,0
3502,646,Germany,Female,30,10,100548.67,2,0,0,136983.77,0
5681,757,Germany,Female,30,6,161378.02,1,0,0,71926.28,1
3748,605,France,Male,32,9,0.0,2,1,1,55724.24,0
7162,690,France,Female,36,6,110480.48,1,0,0,81292.33,0
2091,667,Spain,Male,39,9,0.0,2,1,0,68873.8,0
3878,645,Spain,Male,45,4,0.0,1,0,1,174916.85,1
9400,694,France,Male,39,5,77652.4,1,1,1,25407.59,0
4668,749,Germany,Male,54,3,144768.94,1,1,0,93336.3,1
7719,740,France,Female,60,5,108028.08,2,0,0,25980.42,1
7653,704,France,Male,24,2,148197.15,2,1,0,182775.08,0
796,761,Germany,Male,36,8,108239.11,2,0,0,99444.02,0
3550,675,France,Female,61,5,62055.17,3,1,0,166305.16,1
1896,776,France,Female,29,7,178171.04,2,1,1,115818.51,0
5033,684,Germany,Female,46,3,102955.14,2,1,0,154137.33,0
5418,588,France,Male,32,1,0.0,2,1,1,8763.87,0
6573,588,France,Female,21,8,0.0,2,1,1,110114.19,0
1598,771,France,Male,32,5,62321.62,1,1,1,40920.59,0
4979,540,Germany,Male,35,7,127801.88,1,0,1,84239.46,0
4122,628,Spain,Male,42,7,0.0,2,0,1,172967.87,0
9985,602,Germany,Male,35,7,90602.42,2,1,1,51695.41,0
8197,588,France,Male,30,3,115007.08,1,0,0,176858.5,0
4860,794,Spain,Female,22,4,114440.24,1,1,1,107753.07,0
8263,737,France,Female,33,4,0.0,2,1,0,115115.32,0
2541,550,Germany,Female,45,8,111257.59,1,0,0,97623.42,1
5694,653,France,Female,32,4,83772.95,1,0,1,23920.65,0
5433,599,Spain,Male,51,0,0.0,1,1,1,175235.99,0
6528,464,France,Male,38,3,116439.65,1,1,0,75574.48,0
7771,699,France,Male,29,3,125689.29,1,1,1,151623.71,0
2850,497,France,Male,41,9,0.0,1,0,0,22074.48,0
3267,537,Spain,Male,30,1,103138.17,1,1,1,96555.42,0
7522,670,Spain,Male,43,1,97792.21,1,0,0,120225.62,0
4601,574,France,Female,34,5,112324.45,2,1,1,17993.43,0
5446,451,France,Female,36,2,0.0,2,1,1,180142.42,0
6554,638,Germany,Male,50,1,102645.48,1,1,0,168359.98,1
4370,662,France,Female,22,2,126362.57,2,1,1,97382.8,0
5012,480,Spain,Male,47,8,75408.33,1,1,0,25887.89,1
3200,548,France,Female,46,1,0.0,1,1,1,104469.06,1
1882,530,Spain,Female,36,2,0.0,2,1,1,14721.8,0
2007,687,France,Male,39,7,0.0,2,1,0,26848.25,0
1141,618,France,Female,37,5,96652.86,1,1,0,98686.4,1
